Round,Judgment,Pattern,Strategy,Choice,Reward,Last Choice,Last Reward,Best highest success,Best highest ratio,Best lowest failures,Success Count,Failure Count,Success Ratio
0,N/A,N/A,N/A+N/A,,,,,,,,{},{},{}
1,Explore,Switch-After-Win,Explore+Switch-After-Win,Indigo,1.0,,,,,,{},{},{}
2,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,,"{""Indigo"": 1}",{},"{""Indigo"": 1.0}"
3,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,0.0,Indigo,1.0,Indigo,Indigo,,"{""Indigo"": 2}",{},"{""Indigo"": 1.0}"
4,Exploit,Lose-Stay,Exploit+Lose-Stay,Indigo,1.0,Indigo,0.0,Indigo,Indigo,Indigo,"{""Indigo"": 2}","{""Indigo"": 1}","{""Indigo"": 0.6666666666666666}"
5,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 3}","{""Indigo"": 1}","{""Indigo"": 0.75}"
6,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 4}","{""Indigo"": 1}","{""Indigo"": 0.8}"
7,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 5}","{""Indigo"": 1}","{""Indigo"": 0.8333333333333334}"
8,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 6}","{""Indigo"": 1}","{""Indigo"": 0.8571428571428571}"
9,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 7}","{""Indigo"": 1}","{""Indigo"": 0.875}"
10,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 8}","{""Indigo"": 1}","{""Indigo"": 0.8888888888888888}"
11,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 9}","{""Indigo"": 1}","{""Indigo"": 0.9}"
12,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 10}","{""Indigo"": 1}","{""Indigo"": 0.9090909090909091}"
13,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 11}","{""Indigo"": 1}","{""Indigo"": 0.9166666666666666}"
14,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 12}","{""Indigo"": 1}","{""Indigo"": 0.9230769230769231}"
15,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 13}","{""Indigo"": 1}","{""Indigo"": 0.9285714285714286}"
16,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 14}","{""Indigo"": 1}","{""Indigo"": 0.9333333333333333}"
17,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 15}","{""Indigo"": 1}","{""Indigo"": 0.9375}"
18,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 16}","{""Indigo"": 1}","{""Indigo"": 0.9411764705882353}"
