Round,Judgment,Pattern,Strategy,Choice,Reward,Last Choice,Last Reward,Best highest success,Best highest ratio,Best lowest failures,Success Count,Failure Count,Success Ratio
0,N/A,N/A,N/A+N/A,,,,,,,,{},{},{}
1,Explore,Switch-After-Win,Explore+Switch-After-Win,Indigo,1.0,,,,,,{},{},{}
2,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,,"{""Indigo"": 1}",{},"{""Indigo"": 1.0}"
3,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,,"{""Indigo"": 2}",{},"{""Indigo"": 1.0}"
4,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,,"{""Indigo"": 3}",{},"{""Indigo"": 1.0}"
5,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,,"{""Indigo"": 4}",{},"{""Indigo"": 1.0}"
6,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,,"{""Indigo"": 5}",{},"{""Indigo"": 1.0}"
7,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,,"{""Indigo"": 6}",{},"{""Indigo"": 1.0}"
8,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,,"{""Indigo"": 7}",{},"{""Indigo"": 1.0}"
9,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,,"{""Indigo"": 8}",{},"{""Indigo"": 1.0}"
10,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,,"{""Indigo"": 9}",{},"{""Indigo"": 1.0}"
11,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,,"{""Indigo"": 10}",{},"{""Indigo"": 1.0}"
12,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,,"{""Indigo"": 11}",{},"{""Indigo"": 1.0}"
13,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,,"{""Indigo"": 12}",{},"{""Indigo"": 1.0}"
14,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,,"{""Indigo"": 13}",{},"{""Indigo"": 1.0}"
15,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,,"{""Indigo"": 14}",{},"{""Indigo"": 1.0}"
16,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,,"{""Indigo"": 15}",{},"{""Indigo"": 1.0}"
17,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,0.0,Indigo,1.0,Indigo,Indigo,,"{""Indigo"": 16}",{},"{""Indigo"": 1.0}"
18,Exploit,Lose-Stay,Exploit+Lose-Stay,Indigo,1.0,Indigo,0.0,Indigo,Indigo,Indigo,"{""Indigo"": 16}","{""Indigo"": 1}","{""Indigo"": 0.9411764705882353}"
19,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 17}","{""Indigo"": 1}","{""Indigo"": 0.9444444444444444}"
20,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 18}","{""Indigo"": 1}","{""Indigo"": 0.9473684210526315}"
